year,race,deaths,population,pct
1999,Black,58,21085711,2.75067793540374e-06
1999,White,257,130478997,1.96966566197623e-06
2000,Black,66,21344177,3.09217825545581e-06
2000,White,266,131259116,2.02652591382682e-06
2001,Black,49,21799252,2.24778354780247e-06
2001,White,260,132521561,1.9619448943859e-06
2002,Black,75,22098531,3.39389075228575e-06
2002,White,299,132559266,2.25559486727997e-06
2003,Black,91,22368950,4.06813909459318e-06
2003,White,318,132703574,2.39631827851147e-06
2004,Black,63,22703567,2.77489435911106e-06
2004,White,282,133052184,2.11946915504972e-06
2005,Black,86,23036212,3.73325267192367e-06
2005,White,279,133423265,2.09108958621272e-06
2006,Black,76,23377270,3.25102118425291e-06
2006,White,309,133767977,2.30996989660687e-06
2007,Black,89,23695716,3.75595318579949e-06
2007,White,301,133915852,2.24768013274485e-06
2008,Black,97,23993839,4.04270446259142e-06
2008,White,282,133923461,2.10568034826997e-06
2009,Black,71,24242703,2.92871632342318e-06
2009,White,291,133743672,2.1758038765378e-06
2010,Black,86,24391274,3.5258510892051e-06
2010,White,331,133468342,2.47998885009001e-06
2011,Black,47,24579827,1.91213713587162e-06
2011,White,198,133222440,1.4862361025665e-06
2012,Black,39,24759304,1.57516544083792e-06
2012,White,164,132790316,1.23502981949376e-06
2013,Black,38,24909189,1.5255414377401e-06
2013,White,184,132341353,1.39034395394159e-06
2014,Black,51,25147100,2.02806685462737e-06
2014,White,149,132091589,1.12800520553962e-06
2015,Black,51,25340890,2.01255756999853e-06
2015,White,180,131774794,1.36596684795425e-06
2016,Black,57,25460617,2.23875171603265e-06
2016,White,195,131139509,1.48696606756397e-06
2017,Black,51,25670268,1.98673422497965e-06
2017,White,166,130885349,1.26828557411724e-06
2018,Black,48,25748482,1.86418756647479e-06
2018,White,153,130330102,1.17394214883681e-06
2019,Black,61,25840254,2.3606579099416e-06
2019,White,158,129722498,1.21798456270862e-06
2020,Black,50,25967554,1.9254797737207e-06
2020,White,168,129447442,1.29782402343648e-06
